date,feedback,cleaned_feedback,sentiment_scores,compound,sentiment
2023-01-01,I love the new remote work policy!,love new remote work policy,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.6369,positive
2023-01-02,The workload has been too high lately.,workload high lately,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-01-03,Team meetings are well-organized.,team meetings wellorganized,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-01-04,Communication from management needs improvement.,communication management needs improvement,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}",0.4588,positive
2023-01-05,Great job on the recent project!,great job recent project,"{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}",0.6249,positive
2023-01-06,I feel overwhelmed with the current deadlines.,feel overwhelmed current deadlines,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.0516}",0.0516,positive
2023-01-07,The new office space is very comfortable.,new office space comfortable,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.5106}",0.5106,positive
2023-01-08,I wish we had more career development opportunities.,wish career development opportunities,"{'neg': 0.0, 'neu': 0.274, 'pos': 0.726, 'compound': 0.6486}",0.6486,positive
2023-01-09,The recent training sessions were very useful.,recent training sessions useful,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,positive
2023-01-10,I feel my contributions are not being recognized.,feel contributions recognized,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-01-11,Work-life balance has improved since the new policies.,worklife balance improved since new policies,"{'neg': 0.0, 'neu': 0.617, 'pos': 0.383, 'compound': 0.4767}",0.4767,positive
2023-01-12,There are too many meetings in a day.,many meetings day,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-01-13,I appreciate the flexibility in work hours.,appreciate flexibility work hours,"{'neg': 0.0, 'neu': 0.282, 'pos': 0.718, 'compound': 0.6249}",0.6249,positive
2023-01-14,The new project management tool is difficult to use.,new project management tool difficult use,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.3612}",-0.3612,negative
2023-01-15,My manager provides helpful feedback.,manager provides helpful feedback,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}",0.4215,positive
2023-01-16,The workload is unfairly distributed across teams.,workload unfairly distributed across teams,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-01-17,Team collaboration has improved significantly.,team collaboration improved significantly,"{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.4767}",0.4767,positive
2023-01-18,I would like better transparency about promotions.,would like better transparency promotions,"{'neg': 0.0, 'neu': 0.357, 'pos': 0.643, 'compound': 0.6597}",0.6597,positive
2023-01-19,The company benefits package is great!,company benefits package great,"{'neg': 0.0, 'neu': 0.23, 'pos': 0.77, 'compound': 0.7717}",0.7717,positive
2023-01-20,Deadlines are often unrealistic.,deadlines often unrealistic,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-01-21,The recent company event was well-organized.,recent company event wellorganized,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-01-22,More mental health support would be appreciated.,mental health support would appreciated,"{'neg': 0.0, 'neu': 0.333, 'pos': 0.667, 'compound': 0.7184}",0.7184,positive
2023-01-23,Leadership is taking employee concerns seriously.,leadership taking employee concerns seriously,"{'neg': 0.298, 'neu': 0.702, 'pos': 0.0, 'compound': -0.1779}",-0.1779,negative
2023-01-24,There is a lack of communication between departments.,lack communication departments,"{'neg': 0.535, 'neu': 0.465, 'pos': 0.0, 'compound': -0.3182}",-0.3182,negative
2023-01-25,Salary increments should be more frequent.,salary increments frequent,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2023-01-26,I feel valued in my role.,feel valued role,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,positive
2023-01-27,More team-building activities would be great.,teambuilding activities would great,"{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}",0.6249,positive
2023-01-28,The new policy changes have been confusing.,new policy changes confusing,"{'neg': 0.388, 'neu': 0.612, 'pos': 0.0, 'compound': -0.2263}",-0.2263,negative
2023-01-29,HR is very responsive to employee issues.,hr responsive employee issues,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",0.3612,positive
2023-01-30,My manager is very supportive.,manager supportive,"{'neg': 0.0, 'neu': 0.312, 'pos': 0.688, 'compound': 0.296}",0.296,positive
2023-02-01,There is favoritism in promotions.,favoritism promotions,"{'neg': 0.0, 'neu': 0.37, 'pos': 0.63, 'compound': 0.1779}",0.1779,positive
